name,google_url,categorie,address,phone,website,note,nb_avis,accessible,chiens_acceptes,livraison,livraison_sans_contact,service_de_drive,vente_a_emporter,repas_sur_place,code_plus
SAS CHOUITE EN BOUCHE,https://www.google.com/maps/place/SAS+CHOUITE+EN+BOUCHE/data=!4m7!3m6!1s0x8d123da7e0e1db87:0x79307c8a9c966324!8m2!3d4.93375!4d-52.330363!16s%2Fg%2F11pcrv9j7m!19sChIJh9vh4Kc9Eo0RJGOWnIp8MHk?authuser=0&hl=fr&rclk=1,Restaurant,"15, 97300 avenue Francois ronjon, Cayenne 97300, Guyane française",+594 694 13 26 08,,"3,3",3,non,,,,,oui,oui,"WMM9+GV Cayenne, Guyane française"
PHO EXPRESS,https://www.google.com/maps/place/PHO+EXPRESS/data=!4m7!3m6!1s0x8d123da426688041:0xcde9e983c07cd435!8m2!3d4.8992771!4d-52.3282587!16s%2Fg%2F11h876mr10!19sChIJQYBoJqQ9Eo0RNdR8wIPp6c0?authuser=0&hl=fr&rclk=1,Restaurant,"Cayenne 97300, Guyane française",+594 594 38 27 63,,4,41,oui,,,,,oui,oui,"VMXC+PM Cayenne, Guyane française"
Cook'in 1,https://www.google.com/maps/place/Cook%27in+1/data=!4m7!3m6!1s0x8d123dc99ac8a4a9:0x5674d6fd7932df23!8m2!3d4.9399128!4d-52.3301107!16s%2Fg%2F11jlgg_0mx!19sChIJqaTImsk9Eo0RI98yef3WdFY?authuser=0&hl=fr&rclk=1,Restaurant,"53, 97300 Rue du Lieutenant Goinet, Guyane française",+594 594 30 35 97,,"4,3",6,non,,,,,,,"WMQ9+XX Cayenne, Guyane française"
Snack Spé Surinamienne,https://www.google.com/maps/place/Snack+Sp%C3%A9+Surinamienne/data=!4m7!3m6!1s0x8d0e4359eaa24d83:0x738204984f79d691!8m2!3d5.479566!4d-53.2060059!16s%2Fg%2F11f00s4r21!19sChIJg02i6llDDo0RkdZ5T5gEgnM?authuser=0&hl=fr&rclk=1,Restaurant,"FQHV+RHH, Iracoubo 97350, Guyane française",,,"3,8",38,non,,,,,oui,,
Snack la savane,https://www.google.com/maps/place/Snack+la+savane/data=!4m7!3m6!1s0x8d0e4386ffe80bc7:0xd620a9559c63c2e7!8m2!3d5.4799381!4d-53.20436!16s%2Fg%2F11gwmgqhr4!19sChIJxwvo_4ZDDo0R58JjnFWpINY?authuser=0&hl=fr&rclk=1,Snack,"FQHW+X7C, Unnamed Road, Iracoubo, Guyane française",+594 594 34 58 79,,"4,1",53,oui,,,,,oui,oui,
Le Gîte d’Iracoubo,https://www.google.com/maps/place/Le+G%C3%AEte+d%E2%80%99Iracoubo/data=!4m7!3m6!1s0x8d0e4358937dc501:0x371d9cba6d499010!8m2!3d5.4783417!4d-53.2043915!16s%2Fg%2F11jdwthr68!19sChIJAcV9k1hDDo0REJBJbbqcHTc?authuser=0&hl=fr&rclk=1,Hébergement d'intérieur,"5 Rue Léonard Saibou, Iracoubo 97350, Guyane française",+594 694 90 42 79,,"4,9",13,non,,,,,,,"FQHW+86 Iracoubo, Guyane française"
Restaurant Chez Lynn,https://www.google.com/maps/place/Restaurant+Chez+Lynn/data=!4m7!3m6!1s0x8d0e5d0045f30701:0x8ab0f80ccbff3192!8m2!3d5.4759572!4d-53.2588609!16s%2Fg%2F11m5w12fs_!19sChIJAQfzRQBdDo0RkjH_ywz4sIo?authuser=0&hl=fr&rclk=1,Restaurant,"7, 97350 Rue Yanou, Iracoubo 97350, Guyane française",+594 694 91 87 50,facebook.com,5,2,non,,,,,,,"FPGR+9F Iracoubo, Guyane française"
Mundo Loco,https://www.google.com/maps/place/Mundo+Loco/data=!4m7!3m6!1s0x8d11fd587bae43b1:0xbd5952ecbe27620d!8m2!3d5.1706519!4d-52.642545!16s%2Fg%2F11mhwl7pvd!19sChIJsUOue1j9EY0RDWInvuxSWb0?authuser=0&hl=fr&rclk=1,Restaurant,"Avenue de l'Anse, Kourou 97310, Guyane française",+34 607 40 38 60,mundoloco.fr,"4,7",295,oui,,,,,oui,oui,
Le Samscilla,https://www.google.com/maps/place/Le+Samscilla/data=!4m7!3m6!1s0x8d0dfd5bbc3fc745:0x3d1132c0b4ceab5f!8m2!3d5.1644101!4d-52.6396588!16s%2Fg%2F11srt_qlq2!19sChIJRcc_vFv9DY0RX6vOtMAyET0?authuser=0&hl=fr&rclk=1,Restaurant,"4 place Galilée, Kourou 97310, Guyane française",+594 594 22 70 40,instagram.com,"4,5",98,oui,,non,,,oui,oui,
Le WooD Kourou,https://www.google.com/maps/place/Le+WooD+Kourou/data=!4m7!3m6!1s0x8d11fdb79893e98b:0xbb558825590d2783!8m2!3d5.1711044!4d-52.6429154!16s%2Fg%2F11r9gvtm0v!19sChIJi-mTmLf9EY0RgycNWSWIVbs?authuser=0&hl=fr&rclk=1,Restaurant,"1 Av. Auguste Boudinot, Kourou 97351, Guyane française",+594 594 32 55 09,lewoodkourou.com,"4,1",189,non,,non,,,oui,oui,
Dzindzano,https://www.google.com/maps/place/Dzindzano/data=!4m7!3m6!1s0x8d11fdc6dc4c9d1b:0xec66e89c40f4973b!8m2!3d5.1701233!4d-52.6420792!16s%2Fg%2F11k6sfxjqp!19sChIJG51M3Mb9EY0RO5f0QJzoZuw?authuser=0&hl=fr&rclk=1,Restaurant,"Rue du Dr Henry, Kourou 97310, Guyane française",+594 694 21 42 30,,"4,6",176,non,,non,,,,oui,
Restaurant Amazonia,https://www.google.com/maps/place/Restaurant+Amazonia/data=!4m7!3m6!1s0x8d11fd167d3916c9:0x2f81427625d38ef0!8m2!3d5.1711698!4d-52.642974!16s%2Fg%2F11qktxrd6v!19sChIJyRY5fRb9EY0R8I7TJXZCgS8?authuser=0&hl=fr&rclk=1,Restaurant brésilien,"Front de mer, 1 Av. Auguste Boudinot, Kourou 97310, Guyane française",+594 594 32 84 37,,"4,3",83,non,,non,,,,oui,
Chez Samia,https://www.google.com/maps/place/Chez+Samia/data=!4m7!3m6!1s0x8d11fc25c6f29dff:0xddc14ae869bcec5b!8m2!3d5.1745543!4d-52.647348!16s%2Fg%2F11c1qqx9n9!19sChIJ_53yxiX8EY0RW-y8aehKwd0?authuser=0&hl=fr&rclk=1,Restaurant brésilien,"27 Rue Ernest Prudent, Kourou 97310, Guyane française",+594 694 01 72 01,,"4,5",138,oui,,non,,,,oui,
Le P'tit Café,https://www.google.com/maps/place/Le+P%27tit+Caf%C3%A9/data=!4m7!3m6!1s0x8d11fe8555555555:0xe253e413b27982b5!8m2!3d5.1688804!4d-52.6514605!16s%2Fg%2F11c30r3vwm!19sChIJVVVVVYX-EY0RtYJ5shPkU-I?authuser=0&hl=fr&rclk=1,Restaurant français,"11 Av. Gaston Monnerville, Kourou 97310, Guyane française",+594 594 32 68 56,facebook.com,"4,2",177,oui,,oui,,,oui,oui,
Délili Restaurant,https://www.google.com/maps/place/D%C3%A9lili+Restaurant/data=!4m7!3m6!1s0x8d11ff5fe474c507:0xfb6d6f57e6c910f5!8m2!3d5.1641695!4d-52.6435935!16s%2Fg%2F11fqbk1pb3!19sChIJB8V05F__EY0R9RDJ5ldvbfs?authuser=0&hl=fr&rclk=1,Restaurant,"Kourou 97310, Guyane française",+594 594 22 03 62,,4,46,oui,,oui,,,oui,oui,
Ti Solèy,https://www.google.com/maps/place/Ti+Sol%C3%A8y/data=!4m7!3m6!1s0x8d11fd2518986653:0x8edf6aad2bcac276!8m2!3d5.1707935!4d-52.6426579!16s%2Fg%2F11j0tbyyxp!19sChIJU2aYGCX9EY0RdsLKK61q344?authuser=0&hl=fr&rclk=1,Restaurant,"Avenue de l'Anse, Kourou 97310, Guyane française",+594 694 29 32 32,tisoley.com,"4,7",159,oui,,non,,,oui,oui,
La Grillade,https://www.google.com/maps/place/La+Grillade/data=!4m7!3m6!1s0x8d11fe9ca9bbc267:0xb2c7bcaebbbe28e5!8m2!3d5.1654225!4d-52.648769!16s%2Fg%2F11dfj51s9p!19sChIJZ8K7qZz-EY0R5Si-u668x7I?authuser=0&hl=fr&rclk=1,Restaurant de viande,"39 Av. Hector Berlioz, Kourou 97310, Guyane française",+594 594 32 46 72,,"4,1",179,oui,,,,,,oui,
RICCO'S,https://www.google.com/maps/place/RICCO%27S/data=!4m7!3m6!1s0x8d11fd822c84eb05:0xb99d5ee6edc45b05!8m2!3d5.1702903!4d-52.6422562!16s%2Fg%2F11n089jng5!19sChIJBeuELIL9EY0RBVvE7eZenbk?authuser=0&hl=fr&rclk=1,Restaurant,"Front de mer, 2 Rue Docteur Henri, Kourou 97310, Guyane française",+594 594 32 71 65,,"4,3",108,oui,,non,,,oui,oui,
Jungle Grill,https://www.google.com/maps/place/Jungle+Grill/data=!4m7!3m6!1s0x8d11fff5387611e7:0x5b33016a1793b92c!8m2!3d5.1694144!4d-52.651415!16s%2Fg%2F11rpmdrgb5!19sChIJ5xF2OPX_EY0RLLmTF2oBM1s?authuser=0&hl=fr&rclk=1,Restaurant,"589X+QC8, Kourou 97310, Guyane française",+594 594 32 57 22,,"4,2",73,oui,,,,,,oui,
Restaurant Le Créolia,https://www.google.com/maps/place/Restaurant+Le+Cr%C3%A9olia/data=!4m7!3m6!1s0x8d11feaff529eb3f:0x4efb390cc9e857c0!8m2!3d5.1607513!4d-52.6278686!16s%2Fg%2F11g9jvjp0v!19sChIJP-sp9a_-EY0RwFfoyQw5-04?authuser=0&hl=fr&rclk=1,Restaurant,"596C+8V2, Kourou 97310, Guyane française",+594 594 32 00 66,,4,122,oui,,,,,,oui,
Moxi Yana,https://www.google.com/maps/place/Moxi+Yana/data=!4m7!3m6!1s0x8d11ff38cfb76a45:0x3fd9898746c08eb6!8m2!3d5.1545785!4d-52.6476434!16s%2Fg%2F11rzwd_rh4!19sChIJRWq3zzj_EY0Rto7ARoeJ2T8?authuser=0&hl=fr&rclk=1,Restaurant,"4 Rue Ferjus Antoinette, Kourou 97370, Guyane française",+594 594 32 09 03,,"4,4",17,oui,,non,,,oui,oui,
Le Flamengo,https://www.google.com/maps/place/Le+Flamengo/data=!4m7!3m6!1s0x8d11fe96bc9c7e55:0xd2895d021f9c9622!8m2!3d5.1541573!4d-52.6433022!16s%2Fg%2F11fy4syfvm!19sChIJVX6cvJb-EY0RIpacHwJdidI?authuser=0&hl=fr&rclk=1,Restaurant,"5934+MM8, Kourou 97310, Guyane française",+594 594 32 00 34,,4,43,oui,,non,,,,oui,
Le Massalé,https://www.google.com/maps/place/Le+Massal%C3%A9/data=!4m7!3m6!1s0x8d11fea4ffe160ad:0xb5c2ab62336c318d!8m2!3d5.160216!4d-52.6377043!16s%2Fg%2F11fy4s_qq6!19sChIJrWDh_6T-EY0RjTFsM2KrwrU?authuser=0&hl=fr&rclk=1,Restaurant créole,"23, 97310 Av. Des Roches, Kourou, Guyane française",+594 594 32 27 73,,4,100,non,,non,,,,oui,
Malo brochettes,https://www.google.com/maps/place/Malo+brochettes/data=!4m7!3m6!1s0x8d11fff00e874295:0xc9309c0117cc5791!8m2!3d5.1575608!4d-52.6384612!16s%2Fg%2F11v67b6m5c!19sChIJlUKHDvD_EY0RkVfMFwGcMMk?authuser=0&hl=fr&rclk=1,Restaurant de grillades,"Rue du Maroni, Kourou 97310, Guyane française",+594 594 22 57 81,,"4,5",36,oui,,non,,,oui,oui,
Nummer 4 & co,https://www.google.com/maps/place/Nummer+4+%26+co/data=!4m7!3m6!1s0x8d11fe9e627e0847:0x7fdfeeed95087957!8m2!3d5.1669101!4d-52.6429358!16s%2Fg%2F11d_2_ttl4!19sChIJRwh-Yp7-EY0RV3kIle3u338?authuser=0&hl=fr&rclk=1,Restaurant surinamais,"6, 97310 Rue des Aimaras, Kourou, Guyane française",+594 594 48 50 52,,"4,1",54,oui,,,,,oui,oui,
Lyne's Chill & Grill,https://www.google.com/maps/place/Lyne%27s+Chill+%26+Grill/data=!4m7!3m6!1s0x8d11ff4b5f255b87:0x2beaf664c096a880!8m2!3d5.1515186!4d-52.6436053!16s%2Fg%2F11k4swr8qy!19sChIJh1slX0v_EY0RgKiWwGT26is?authuser=0&hl=fr&rclk=1,Restaurant de hamburgers,"Place des Fêtes, Kourou 97310, Guyane française",+594 694 12 99 96,lyneschillandgrill.netlify.app,"4,9",18,oui,,,,,,oui,
Restaurant La Chance,https://www.google.com/maps/place/Restaurant+La+Chance/data=!4m7!3m6!1s0x8d11ff2dc3868939:0xb9b29258df5883e1!8m2!3d5.1599853!4d-52.6432141!16s%2Fg%2F11rg3wl7nf!19sChIJOYmGwy3_EY0R4YNY31iSsrk?authuser=0&hl=fr&rclk=1,Restaurant,"8 Avenue Victor Hugo, Kourou 97310, Guyane française",+594 694 40 88 72,,"4,3",21,non,,,,,oui,oui,
Chez Tête,https://www.google.com/maps/place/Chez+T%C3%AAte/data=!4m7!3m6!1s0x8d11fd9c1931935b:0xb6f6c4a155e3aded!8m2!3d5.176385!4d-52.6494966!16s%2Fg%2F11jp0c9hcb!19sChIJW5MxGZz9EY0R7a3jVaHE9rY?authuser=0&hl=fr&rclk=1,Restaurant,"59G2+H62, Rue Claude Monet, Kourou 97310, Guyane française",+594 694 15 93 60,,5,7,non,,,,,,oui,
Le Capitaine,https://www.google.com/maps/place/Le+Capitaine/data=!4m7!3m6!1s0x8d11ff3bc68fa0db:0x423a746bfc700184!8m2!3d5.1584291!4d-52.6363051!16s%2Fg%2F11s4_klg5c!19sChIJ26CPxjv_EY0RhAFw_Gt0OkI?authuser=0&hl=fr&rclk=1,Restaurant,"42 Rue des Acacias, Kourou 97310, Guyane française",,,5,3,oui,,,,,oui,oui,
Copacabana,https://www.google.com/maps/place/Copacabana/data=!4m7!3m6!1s0x8d11ffc2354746e9:0xbbd2feddd3209f37!8m2!3d5.163017!4d-52.6325986!16s%2Fg%2F11fm8bf5tt!19sChIJ6UZHNcL_EY0RN58g093-0rs?authuser=0&hl=fr&rclk=1,Bar,"Kourou 97310, Guyane française",+594 694 24 92 01,,"4,6",128,oui,,non,,,oui,oui,
Restaurant La Soupe de Cacao,https://www.google.com/maps/place/Restaurant+La+Soupe+de+Cacao/data=!4m7!3m6!1s0x8d11ff003fef9b95:0x7399ae0a0844e43c!8m2!3d5.1546102!4d-52.6563056!16s%2Fg%2F11x0p0j97y!19sChIJlZvvPwD_EY0RPORECAqumXM?authuser=0&hl=fr&rclk=1,Restaurant asiatique,"583V+RFW Centre commerciale espace Millenium, Kourou 97310, Guyane française",+594 594 22 57 35,,"4,7",7,oui,,non,,,,oui,
Pizzeria au Petit Bateau - Kourou,https://www.google.com/maps/place/Pizzeria+au+Petit+Bateau+-+Kourou/data=!4m7!3m6!1s0x8d11ff081d1dcd8f:0xa62573cb58d27635!8m2!3d5.1597282!4d-52.6430649!16s%2Fg%2F11rhrl_mdx!19sChIJj80dHQj_EY0RNXbSWMtzJaY?authuser=0&hl=fr&rclk=1,Pizzeria,"6 Avenue Victor Hugo, Kourou 97310, Guyane française",+594 594 22 58 67,,"4,6",52,non,,oui,,,oui,,
Délices des produits de la mer,https://www.google.com/maps/place/D%C3%A9lices+des+produits+de+la+mer/data=!4m7!3m6!1s0x8d11fdfdf07d5de1:0xf1b754677113943!8m2!3d5.1755584!4d-52.6534864!16s%2Fg%2F11v0zz775c!19sChIJ4V198P39EY0RQzkRd0Z1Gw8?authuser=0&hl=fr&rclk=1,Restauration rapide,"1, 97310 Rue du Mont Atachi Bakka, Kourou, Guyane française",,,5,2,non,,,,,oui,,
Guyasnack'Njus,https://www.google.com/maps/place/Guyasnack%27Njus/data=!4m7!3m6!1s0x8d11ff002b435c0f:0x8b223a5b05997b3e!8m2!3d5.1615067!4d-52.6514258!16s%2Fg%2F11vyrhhsk1!19sChIJD1xDKwD_EY0RPnuZBVs6Ios?authuser=0&hl=fr&rclk=1,Restaurant,"2, 97310 Pl. Desmond Tutu, Kourou, Guyane française",+594 694 22 42 43,instagram.com,"4,6",25,non,,non,,,,oui,
Roméo & Juliette,https://www.google.com/maps/place/Rom%C3%A9o+%26+Juliette/data=!4m7!3m6!1s0x8d11ff0035122d0d:0xe7f4e16c8bb74867!8m2!3d5.1660379!4d-52.6429013!16s%2Fg%2F11xrdv3j0l!19sChIJDS0SNQD_EY0RZ0i3i2zh9Oc?authuser=0&hl=fr&rclk=1,Restaurant de hamburgers,"5984+CR9, Kourou 97310, Guyane française",+594 694 42 46 91,,5,6,non,,,,,,,
As delicia do lar nono vivi,https://www.google.com/maps/place/As+delicia+do+lar+nono+vivi/data=!4m7!3m6!1s0x8d11ff850b6b07a1:0x2cfbc3d549dd1497!8m2!3d5.1691343!4d-52.6539262!16s%2Fg%2F11xmjt_pt4!19sChIJoQdrC4X_EY0RlxTdSdXD-yw?authuser=0&hl=fr&rclk=1,Restauration rapide,"38 avenue Léopold, Cedar Senghor, Kourou 97310, Guyane française",+594 694 36 71 72,,"4,6",13,oui,,oui,oui,oui,,non,
Delícias da Cataruna,https://www.google.com/maps/place/Del%C3%ADcias+da+Cataruna/data=!4m7!3m6!1s0x8d11ff0025af446d:0x79ebd3138656e95f!8m2!3d5.15241!4d-52.644802!16s%2Fg%2F11ymmb26qg!19sChIJbUSvJQD_EY0RX-lWhhPT63k?authuser=0&hl=fr&rclk=1,Restaurant brésilien,"27, 97310 Rue Edjide Duchesne, Kourou 97310, Guyane française",+594 694 13 04 41,,5,1,non,,,,,,,
Hotel Mercure Kourou Ariatel,https://www.google.com/maps/place/Hotel+Mercure+Kourou+Ariatel/data=!4m10!3m9!1s0x8d11fdd2d4316aad:0x311c3c4851bbcfb3!5m2!4m1!1i2!8m2!3d5.1773204!4d-52.6603694!16s%2Fg%2F1tjmfpyx!19sChIJrWox1NL9EY0Rs8-7UUg8HDE?authuser=0&hl=fr&rclk=1,,"Avenue De St Exupéry, Kourou 97310, Guyane française",+594 594 32 89 00,all.accor.com,"4,2",279,non,,,,,,,
Garuda,https://www.google.com/maps/place/Garuda/data=!4m7!3m6!1s0x8d11ff0022b9c16b:0xdaeb04c7ce4116e3!8m2!3d5.1530408!4d-52.6462473!16s%2Fg%2F11vws44k05!19sChIJa8G5IgD_EY0R4xZBzscE69o?authuser=0&hl=fr&rclk=1,Restaurant indonésien,"4 Rue Raymond Cresson, Kourou 97310, Guyane française",,facebook.com,"4,7",30,oui,,non,,,oui,oui,
La Spezia,https://www.google.com/maps/place/La+Spezia/data=!4m7!3m6!1s0x8d11fe9e86e4c7ed:0x3bf7174f908de497!8m2!3d5.166863!4d-52.6434819!16s%2Fg%2F11g9smyx4f!19sChIJ7cfkhp7-EY0Rl-SNkE8X9zs?authuser=0&hl=fr&rclk=1,Pizzeria,"Place de L'Europe, Av. de France, Kourou 97310, Guyane française",+594 594 32 00 00,pizza-laspezia.fr,"4,4",158,oui,,,,,oui,,
Hôtel Restaurant des Roches,https://www.google.com/maps/place/H%C3%B4tel+Restaurant+des+Roches/data=!4m10!3m9!1s0x8d11feaff5750c2d:0xa8f6565d2fda6d43!5m2!4m1!1i2!8m2!3d5.1598894!4d-52.6272561!16s%2Fg%2F1ts3gnr2!19sChIJLQx19a_-EY0RQ23aL11W9qg?authuser=0&hl=fr&rclk=1,,"97310 Av. des Roches, Kourou 97310, Guyane française",+594 594 32 00 66,hotel-des-roches.fr,"3,8",283,non,,,,,,,
GUIGUIT'S BAR,https://www.google.com/maps/place/GUIGUIT%27S+BAR/data=!4m7!3m6!1s0x8d11ff8c0453b3df:0xfdcfcd4c0fa7dbde!8m2!3d5.1599943!4d-52.6375635!16s%2Fg%2F11rcwk58vc!19sChIJ37NTBIz_EY0R3tunD0zNz_0?authuser=0&hl=fr&rclk=1,Bar,"5956+XXV, Rue des Acacias, Kourou 97310, Guyane française",,,"4,6",16,oui,,,,,oui,oui,
Restaurant L’Orchidée,https://www.google.com/maps/place/Restaurant+L%E2%80%99Orchid%C3%A9e/data=!4m7!3m6!1s0x8d11fe9f02c0c88f:0x5d7831b83e2e82d1!8m2!3d5.1658259!4d-52.641934!16s%2Fg%2F11dxkw6sn1!19sChIJj8jAAp_-EY0R0YIuPrgxeF0?authuser=0&hl=fr&rclk=1,Restaurant vietnamien,"Kourou 97310, Guyane française",+594 594 32 22 34,instagram.com,"4,2",43,non,,,,,oui,oui,
La Konte's Kouroucienne,https://www.google.com/maps/place/La+Konte%27s+Kouroucienne/data=!4m7!3m6!1s0x8d11fe9692fa1d47:0x9df766d4f9f5629e!8m2!3d5.1573287!4d-52.6421144!16s%2Fg%2F11gbzcllfp!19sChIJRx36kpb-EY0RnmL1-dRm950?authuser=0&hl=fr&rclk=1,Restaurant,"5945+W5J, Kourou 97310, Guyane française",+594 594 32 84 93,,"4,1",15,non,,,,,,oui,
Le Boma,https://www.google.com/maps/place/Le+Boma/data=!4m7!3m6!1s0x8d11fc2cafaf3ca5:0xd00a740960777c06!8m2!3d5.1774364!4d-52.6603757!16s%2Fg%2F11fylzf55_!19sChIJpTyvryz8EY0RBnx3YAl0CtA?authuser=0&hl=fr&rclk=1,Restaurant,"Lac, Avenue Bois Diable, Kourou 97310, Guyane française",+594 694 14 44 44,all.accor.com,"4,2",45,oui,,,,,oui,oui,
L'Antidote,https://www.google.com/maps/place/L%27Antidote/data=!4m7!3m6!1s0x8d11fd16255fe253:0x5c88aa03e6a01d60!8m2!3d5.170228!4d-52.6421653!16s%2Fg%2F11kqfrr0sx!19sChIJU-JfJRb9EY0RYB2g5gOqiFw?authuser=0&hl=fr&rclk=1,Bar à vin,"2 rue du docteur henri, Kourou 97310, Guyane française",+594 694 22 85 85,facebook.com,"4,3",40,non,,non,,,,oui,
Chez Anne,https://www.google.com/maps/place/Chez+Anne/data=!4m7!3m6!1s0x8d11ff8d0659a685:0x311ae66cacb305e2!8m2!3d5.1551462!4d-52.6428149!16s%2Fg%2F11sswc3p1d!19sChIJhaZZBo3_EY0R4gWzrGzmGjE?authuser=0&hl=fr&rclk=1,Restaurant asiatique,"4 place Maryse Bastié, 97310 Rue du Marche, Kourou 97310, Guyane française",+594 694 46 58 75,,"4,6",16,non,,non,,,,oui,
KO TÉSI,https://www.google.com/maps/place/KO+T%C3%89SI/data=!4m7!3m6!1s0x8d11ff2c49e26a65:0x80e6f8b2e90a5985!8m2!3d5.1590559!4d-52.6359046!16s%2Fg%2F11t6psydfd!19sChIJZWriSSz_EY0RhVkK6bL45oA?authuser=0&hl=fr&rclk=1,Restauration rapide,"14 Rue Roger Mariema, Kourou 97310, Guyane française",,,5,1,non,,,,,oui,,
Restaurant Gaw Gaw,https://www.google.com/maps/place/Restaurant+Gaw+Gaw/data=!4m7!3m6!1s0x8d11ffbae821e4db:0x98b29115beceee61!8m2!3d5.1566364!4d-52.6379833!16s%2Fg%2F11h6pt01s2!19sChIJ2-Qh6Lr_EY0RYe7OvhWRspg?authuser=0&hl=fr&rclk=1,Restaurant,"97310 Rue des Sapotilles, Kourou 97310, Guyane française",+594 694 20 40 60,,"4,2",22,non,,non,,,,oui,
Hôtel Restaurant La Marina Kourou,https://www.google.com/maps/place/H%C3%B4tel+Restaurant+La+Marina+Kourou/data=!4m10!3m9!1s0x8d11fe43666384e5:0x63638ed994df99ad!5m2!4m1!1i2!8m2!3d5.150584!4d-52.673201!16s%2Fg%2F11c5g7kzz4!19sChIJ5YRjZkP-EY0RrZnflNmOY2M?authuser=0&hl=fr&rclk=1,,"Zone Pariacabo, Montagne Lombard Kourou, 97310, Guyane française",+594 594 32 29 05,hotel-restaurant-lamarina.com,"3,4",399,non,,,,,,,
CDB Le Carbet des Brochettes,https://www.google.com/maps/place/CDB+Le+Carbet+des+Brochettes/data=!4m7!3m6!1s0x8d11febc2ac17059:0xa171553d49c28ad7!8m2!3d5.1561015!4d-52.6360999!16s%2Fg%2F11g8894qt9!19sChIJWXDBKrz-EY0R14rCST1VcaE?authuser=0&hl=fr&rclk=1,Restaurant,"5947+CHR, Kourou 97310, Guyane française",+594 694 00 54 51,,"3,8",182,oui,,,,,oui,oui,
Les Rayons du Soleil,https://www.google.com/maps/place/Les+Rayons+du+Soleil/data=!4m7!3m6!1s0x8d11ff8ee9560859:0x77373a72aa3c2e3c!8m2!3d5.1620465!4d-52.6403448!16s%2Fg%2F11jcbs3l5p!19sChIJWQhW6Y7_EY0RPC48qnI6N3c?authuser=0&hl=fr&rclk=1,Restaurant asiatique,"56 cité, 97310 Rue Angelique, Kourou, Guyane française",+594 594 22 39 24,,"4,4",37,non,,,,,oui,oui,
Le Singapour,https://www.google.com/maps/place/Le+Singapour/data=!4m7!3m6!1s0x8d11ffcd07aa4ed5:0x3013ac9c440fc5e7!8m2!3d5.1564945!4d-52.644056!16s%2Fg%2F11p75q9m5w!19sChIJ1U6qB83_EY0R58UPRJysEzA?authuser=0&hl=fr&rclk=1,Restaurant chinois,"5944+H9W, Rue Edjide Duchesne, Kourou 97310, Guyane française",,,"4,3",3,non,,,,,oui,oui,
DON SIMON DDD,https://www.google.com/maps/place/DON+SIMON+DDD/data=!4m7!3m6!1s0x8d11ff76977a3a55:0xca2ab6fc3e15e6e0!8m2!3d5.1547516!4d-52.6387074!16s%2Fg%2F11xs29rk32!19sChIJVTp6l3b_EY0R4OYVPvy2Kso?authuser=0&hl=fr&rclk=1,Restaurant,"53 Rue du Levant, Kourou 97310, Guyane française",+594 694 08 32 21,wa.me,"4,7",3,non,,oui,,,oui,,
Trop K'na,https://www.google.com/maps/place/Trop+K%27na/data=!4m7!3m6!1s0x8d11fd7888380195:0x39e5848f0b4bf5fb!8m2!3d5.1742956!4d-52.6471364!16s%2Fg%2F11ny3hpvd7!19sChIJlQE4iHj9EY0R-_VLC4-E5Tk?authuser=0&hl=fr&rclk=1,Restaurant,"59F3+P49, Rue Ernest Prudent, Kourou 97310, Guyane française",+594 694 93 10 95,,"4,3",6,non,,,,,,oui,
Cèdre de l'Orient - Maison k - kourou,https://www.google.com/maps/place/C%C3%A8dre+de+l%27Orient+-+Maison+k+-+kourou/data=!4m7!3m6!1s0x8d11ffc7f85b191d:0x54af985eff7e1816!8m2!3d5.1677816!4d-52.6428808!16s%2Fg%2F11zj92ddhl!19sChIJHRlb-Mf_EY0RFhh-_16Yr1Q?authuser=0&hl=fr&rclk=1,Restaurant libanais,"PLACE DE L'EUROPE, 97310, 18 Rue des Aimaras, Kourou 97310, Guyane française",+594 594 46 70 17,,,0,non,,,,,oui,oui,
Kreola original,https://www.google.com/maps/place/Kreola+original/data=!4m7!3m6!1s0x8d11ff002421ba1f:0x23e675594467ca11!8m2!3d5.1612278!4d-52.642736!16s%2Fg%2F11wqn85vp1!19sChIJH7ohJAD_EY0REcpnRFl15iM?authuser=0&hl=fr&rclk=1,Restauration rapide,"71, 97310 All. des Étoiles, Kourou 97310, Guyane française",,,5,4,non,,,,,,,
Hôtel Atlantis,https://www.google.com/maps/place/H%C3%B4tel+Atlantis/data=!4m10!3m9!1s0x8d11fc2b0b3ab641:0xfc89527179c635ab!5m2!4m1!1i2!8m2!3d5.1732407!4d-52.6576306!16s%2Fg%2F11c42mql1w!19sChIJQbY6Cyv8EY0RqzXGeXFSifw?authuser=0&hl=fr&rclk=1,,"1 AVENUE ST EXUPERY, Kourou 97310, Guyane française",+594 594 32 13 00,atlantiskourou.com,4,245,non,,,,,,,
Boulangerie patisserie Robert,https://www.google.com/maps/place/Boulangerie+patisserie+Robert/data=!4m7!3m6!1s0x8d11ff766f3a66a5:0x45ffa2bb30c04f73!8m2!3d5.1492044!4d-52.6439772!16s%2Fg%2F11ff54hwq_!19sChIJpWY6b3b_EY0Rc0_AMLui_0U?authuser=0&hl=fr&rclk=1,Boulangerie,"Bourg de KOUROU, 1 Avenue de, 97310 Av. General de Gaulle, Kourou, Guyane française",+594 594 58 03 65,,"4,2",73,oui,,non,,,oui,,
